Name,Sex,Number of Beds,Purpose,Date,Time
Cygnet Hospital Kewstoke,Male,2,Rehab,2024-07-14,20:32:12
Cygnet Hospital Kewstoke,Male,2,Acute/PICU,2024-07-14,20:32:12
Cygnet Hospital Woking,Female,2,Acute/PICU,2024-07-14,20:32:12
Cygnet Hospital Stevenage,Female,2,Acute/PICU,2024-07-14,20:32:12
Cygnet Hospital Stevenage,Female,2,Acute/PICU,2024-07-14,20:32:12
Cygnet Hospital Colchester,Male,1,Acute/PICU,2024-07-14,20:32:12
Cygnet Hospital Hexham,Female,2,Acute/PICU,2024-07-14,20:32:12
Cygnet Hospital Sherwood,Male,0,Acute/PICU,2024-07-14,20:32:12
Cygnet Hospital Derby,Male,4,Rehab,2024-07-15,20:32:12
Cygnet Hospital Kewstoke,Male,4,Rehab,2024-07-15,20:32:12
Cygnet Hospital Kewstoke,Male,4,Acute/PICU,2024-07-15,20:32:12
Cygnet Delfryn House,Male,5,Rehab,2024-07-15,20:32:12
Cygnet Hospital Colchester,Male,2,Rehab,2024-07-15,20:32:12
Cygnet Fountains,Male,4,Rehab,2024-07-15,20:32:12
Cygnet Oaks,Male,1,Rehab,2024-07-15,20:32:12
Gledholt Mews and Coach House,Male,2,Rehab,2024-07-15,20:32:12
Cygnet Hospital Maidstone,Male,1,Rehab,2024-07-15,20:32:12
1 Vincent Court,Male,3,Rehab,2024-07-15,20:32:12
Cygnet St Teilo House,Female,3,Rehab,2024-07-15,20:32:12
12 Woodcross Street,Male,2,Rehab,2024-07-15,20:32:12
Cygnet Lodge Woking,Male,0,Rehab,2024-07-15,20:32:12
Cygnet Hospital Beckton,Female,4,Acute/PICU,2024-07-15,20:32:12
Cygnet Maple House,Female,3,PDU,2024-07-15,20:32:12
Cygnet Hospital Maidstone,Female,2,PDU,2024-07-15,20:32:12
Gledholt Mews and Coach House,Male,1,PDU,2024-07-15,20:32:12
Cygnet Hospital Bury,Male,0,PDU,2024-07-15,20:32:12
Cygnet Hospital Bury,Male,1,PDU,2024-07-15,20:32:12
Cygnet Acer Clinic,Female,1,PDU,2024-07-15,20:32:12
Cygnet Hospital Beckton,Female,3,Acute/PICU,2024-07-15,20:32:12
Cygnet Hospital Stevenage,Male,5,Acute/PICU,2024-07-15,20:32:12
Cygnet Hospital Stevenage,Male,5,Acute/PICU,2024-07-15,20:32:12
Cygnet Hospital Sherwood,Male,2,Acute/PICU,2024-07-15,20:32:12
Cygnet Appletree,Female,4,Acute/PICU,2024-07-15,20:32:12
Cygnet Hospital Kewstoke,Female,2,Rehab,2024-07-15,20:32:12
Cygnet Hospital Kewstoke,Female,2,Acute/PICU,2024-07-15,20:32:12
Cygnet Hospital Beckton,Female,2,PDU,2024-07-15,20:32:12
Cygnet Hospital Beckton,Female,2,Acute/PICU,2024-07-15,20:32:12
Cygnet Hospital Hexham,Female,1,Acute/PICU,2024-07-15,20:32:12
Cygnet Appletree,Female,2,Acute/PICU,2024-07-15,20:32:12
Cygnet Hospital Taunton,Male,2,Acute/PICU,2024-07-15,20:32:12
Cygnet Hospital Taunton,Female,1,Acute/PICU,2024-07-15,20:32:12
Cygnet Hospital Stevenage,Male,1,Acute/PICU,2024-07-15,20:32:12
Cygnet Hospital Kewstoke,Male,3,Rehab,2024-07-15,20:32:12
Cygnet Hospital Kewstoke,Male,3,Acute/PICU,2024-07-15,20:32:12
Cygnet Hospital Woking,Female,3,Acute/PICU,2024-07-15,20:32:12
Cygnet Hospital Stevenage,Female,0,Acute/PICU,2024-07-15,20:32:12
Cygnet Hospital Stevenage,Female,0,Acute/PICU,2024-07-15,20:32:12
Cygnet Hospital Colchester,Male,0,Acute/PICU,2024-07-15,20:32:12
Cygnet Hospital Hexham,Female,2,Acute/PICU,2024-07-15,20:32:12
Cygnet Hospital Sherwood,Male,0,Acute/PICU,2024-07-15,20:32:12
Cygnet Hospital Derby,Male,4,Rehab,2024-07-16,20:32:12
Cygnet Hospital Kewstoke,Male,5,Rehab,2024-07-16,20:32:12
Cygnet Hospital Kewstoke,Male,5,Acute/PICU,2024-07-16,20:32:12
Cygnet Delfryn House,Male,3,Rehab,2024-07-16,20:32:12
Cygnet Hospital Colchester,Male,2,Rehab,2024-07-16,20:32:12
Cygnet Fountains,Male,2,Rehab,2024-07-16,20:32:12
Cygnet Oaks,Male,3,Rehab,2024-07-16,20:32:12
Gledholt Mews and Coach House,Male,2,Rehab,2024-07-16,20:32:12
Cygnet Hospital Maidstone,Male,1,Rehab,2024-07-16,20:32:12
1 Vincent Court,Male,3,Rehab,2024-07-16,20:32:12
Cygnet St Teilo House,Female,2,Rehab,2024-07-16,20:32:12
12 Woodcross Street,Male,2,Rehab,2024-07-16,20:32:12
Cygnet Lodge Woking,Male,2,Rehab,2024-07-16,20:32:12
Cygnet Hospital Beckton,Female,3,Acute/PICU,2024-07-16,20:32:12
Cygnet Maple House,Female,5,PDU,2024-07-16,20:32:12
Cygnet Hospital Maidstone,Female,1,PDU,2024-07-16,20:32:12
Gledholt Mews and Coach House,Male,3,PDU,2024-07-16,20:32:12
Cygnet Hospital Bury,Male,1,PDU,2024-07-16,20:32:12
Cygnet Hospital Bury,Male,0,PDU,2024-07-16,20:32:12
Cygnet Acer Clinic,Female,1,PDU,2024-07-16,20:32:12
Cygnet Hospital Beckton,Female,4,Acute/PICU,2024-07-16,20:32:12
Cygnet Hospital Stevenage,Male,4,Acute/PICU,2024-07-16,20:32:12
Cygnet Hospital Stevenage,Male,4,Acute/PICU,2024-07-16,20:32:12
Cygnet Hospital Sherwood,Male,4,Acute/PICU,2024-07-16,20:32:12
Cygnet Appletree,Female,4,Acute/PICU,2024-07-16,20:32:12
Cygnet Hospital Kewstoke,Female,3,Rehab,2024-07-16,20:32:12
Cygnet Hospital Kewstoke,Female,3,Acute/PICU,2024-07-16,20:32:12
Cygnet Hospital Beckton,Female,2,PDU,2024-07-16,20:32:12
Cygnet Hospital Beckton,Female,2,Acute/PICU,2024-07-16,20:32:12
Cygnet Hospital Hexham,Female,2,Acute/PICU,2024-07-16,20:32:12
Cygnet Appletree,Female,2,Acute/PICU,2024-07-16,20:32:12
Cygnet Hospital Taunton,Male,1,Acute/PICU,2024-07-16,20:32:12
Cygnet Hospital Taunton,Female,3,Acute/PICU,2024-07-16,20:32:12
Cygnet Hospital Stevenage,Male,1,Acute/PICU,2024-07-16,20:32:12
Cygnet Hospital Kewstoke,Male,3,Rehab,2024-07-16,20:32:12
Cygnet Hospital Kewstoke,Male,3,Acute/PICU,2024-07-16,20:32:12
Cygnet Hospital Woking,Female,3,Acute/PICU,2024-07-16,20:32:12
Cygnet Hospital Stevenage,Female,0,Acute/PICU,2024-07-16,20:32:12
Cygnet Hospital Stevenage,Female,0,Acute/PICU,2024-07-16,20:32:12
Cygnet Hospital Colchester,Male,2,Acute/PICU,2024-07-16,20:32:12
Cygnet Hospital Hexham,Female,0,Acute/PICU,2024-07-16,20:32:12
Cygnet Hospital Sherwood,Male,0,Acute/PICU,2024-07-16,20:32:12
Cygnet Hospital Derby,Male,4,Rehab,2024-07-17,20:32:12
Cygnet Hospital Kewstoke,Male,4,Rehab,2024-07-17,20:32:12
Cygnet Hospital Kewstoke,Male,4,Acute/PICU,2024-07-17,20:32:12
Cygnet Delfryn House,Male,3,Rehab,2024-07-17,20:32:12
Cygnet Hospital Colchester,Male,3,Rehab,2024-07-17,20:32:12
Cygnet Fountains,Male,4,Rehab,2024-07-17,20:32:12
Cygnet Oaks,Male,2,Rehab,2024-07-17,20:32:12
Gledholt Mews and Coach House,Male,2,Rehab,2024-07-17,20:32:12
Cygnet Hospital Maidstone,Male,3,Rehab,2024-07-17,20:32:12
1 Vincent Court,Male,1,Rehab,2024-07-17,20:32:12
Cygnet St Teilo House,Female,3,Rehab,2024-07-17,20:32:12
12 Woodcross Street,Male,1,Rehab,2024-07-17,20:32:12
Cygnet Lodge Woking,Male,1,Rehab,2024-07-17,20:32:12
Cygnet Hospital Beckton,Female,4,Acute/PICU,2024-07-17,20:32:12
Cygnet Maple House,Female,5,PDU,2024-07-17,20:32:12
Cygnet Hospital Maidstone,Female,3,PDU,2024-07-17,20:32:12
Gledholt Mews and Coach House,Male,3,PDU,2024-07-17,20:32:12
Cygnet Hospital Bury,Male,0,PDU,2024-07-17,20:32:12
Cygnet Hospital Bury,Male,2,PDU,2024-07-17,20:32:12
Cygnet Acer Clinic,Female,1,PDU,2024-07-17,20:32:12
Cygnet Hospital Beckton,Female,4,Acute/PICU,2024-07-17,20:32:12
Cygnet Hospital Stevenage,Male,3,Acute/PICU,2024-07-17,20:32:12
Cygnet Hospital Stevenage,Male,3,Acute/PICU,2024-07-17,20:32:12
Cygnet Hospital Sherwood,Male,2,Acute/PICU,2024-07-17,20:32:12
Cygnet Appletree,Female,3,Acute/PICU,2024-07-17,20:32:12
Cygnet Hospital Kewstoke,Female,3,Rehab,2024-07-17,20:32:12
Cygnet Hospital Kewstoke,Female,3,Acute/PICU,2024-07-17,20:32:12
Cygnet Hospital Beckton,Female,1,PDU,2024-07-17,20:32:12
Cygnet Hospital Beckton,Female,1,Acute/PICU,2024-07-17,20:32:12
Cygnet Hospital Hexham,Female,3,Acute/PICU,2024-07-17,20:32:12
Cygnet Appletree,Female,1,Acute/PICU,2024-07-17,20:32:12
Cygnet Hospital Taunton,Male,1,Acute/PICU,2024-07-17,20:32:12
Cygnet Hospital Taunton,Female,3,Acute/PICU,2024-07-17,20:32:12
Cygnet Hospital Stevenage,Male,2,Acute/PICU,2024-07-17,20:32:12
Cygnet Hospital Kewstoke,Male,3,Rehab,2024-07-17,20:32:12
Cygnet Hospital Kewstoke,Male,3,Acute/PICU,2024-07-17,20:32:12
Cygnet Hospital Woking,Female,2,Acute/PICU,2024-07-17,20:32:12
Cygnet Hospital Stevenage,Female,0,Acute/PICU,2024-07-17,20:32:12
Cygnet Hospital Stevenage,Female,0,Acute/PICU,2024-07-17,20:32:12
Cygnet Hospital Colchester,Male,2,Acute/PICU,2024-07-17,20:32:12
Cygnet Hospital Hexham,Female,2,Acute/PICU,2024-07-17,20:32:12
Cygnet Hospital Sherwood,Male,1,Acute/PICU,2024-07-17,20:32:12
Cygnet Hospital Derby,Male,4,Rehab,2024-07-18,20:32:12
Cygnet Hospital Kewstoke,Male,4,Rehab,2024-07-18,20:32:12
Cygnet Hospital Kewstoke,Male,4,Acute/PICU,2024-07-18,20:32:12
Cygnet Delfryn House,Male,4,Rehab,2024-07-18,20:32:12
Cygnet Hospital Colchester,Male,4,Rehab,2024-07-18,20:32:12
Cygnet Fountains,Male,2,Rehab,2024-07-18,20:32:12
Cygnet Oaks,Male,1,Rehab,2024-07-18,20:32:12
Gledholt Mews and Coach House,Male,2,Rehab,2024-07-18,20:32:12
Cygnet Hospital Maidstone,Male,1,Rehab,2024-07-18,20:32:12
1 Vincent Court,Male,2,Rehab,2024-07-18,20:32:12
Cygnet St Teilo House,Female,1,Rehab,2024-07-18,20:32:12
12 Woodcross Street,Male,0,Rehab,2024-07-18,20:32:12
Cygnet Lodge Woking,Male,2,Rehab,2024-07-18,20:32:12
Cygnet Hospital Beckton,Female,3,Acute/PICU,2024-07-18,20:32:12
Cygnet Maple House,Female,3,PDU,2024-07-18,20:32:12
Cygnet Hospital Maidstone,Female,1,PDU,2024-07-18,20:32:12
Gledholt Mews and Coach House,Male,3,PDU,2024-07-18,20:32:12
Cygnet Hospital Bury,Male,0,PDU,2024-07-18,20:32:12
Cygnet Hospital Bury,Male,2,PDU,2024-07-18,20:32:12
Cygnet Acer Clinic,Female,0,PDU,2024-07-18,20:32:12
Cygnet Hospital Beckton,Female,4,Acute/PICU,2024-07-18,20:32:12
Cygnet Hospital Stevenage,Male,5,Acute/PICU,2024-07-18,20:32:12
Cygnet Hospital Stevenage,Male,5,Acute/PICU,2024-07-18,20:32:12
Cygnet Hospital Sherwood,Male,4,Acute/PICU,2024-07-18,20:32:12
Cygnet Appletree,Female,4,Acute/PICU,2024-07-18,20:32:12
Cygnet Hospital Kewstoke,Female,2,Rehab,2024-07-18,20:32:12
Cygnet Hospital Kewstoke,Female,2,Acute/PICU,2024-07-18,20:32:12
Cygnet Hospital Beckton,Female,2,PDU,2024-07-18,20:32:12
Cygnet Hospital Beckton,Female,2,Acute/PICU,2024-07-18,20:32:12
Cygnet Hospital Hexham,Female,3,Acute/PICU,2024-07-18,20:32:12
Cygnet Appletree,Female,2,Acute/PICU,2024-07-18,20:32:12
Cygnet Hospital Taunton,Male,3,Acute/PICU,2024-07-18,20:32:12
Cygnet Hospital Taunton,Female,2,Acute/PICU,2024-07-18,20:32:12
Cygnet Hospital Stevenage,Male,3,Acute/PICU,2024-07-18,20:32:12
Cygnet Hospital Kewstoke,Male,3,Rehab,2024-07-18,20:32:12
Cygnet Hospital Kewstoke,Male,3,Acute/PICU,2024-07-18,20:32:12
Cygnet Hospital Woking,Female,3,Acute/PICU,2024-07-18,20:32:12
Cygnet Hospital Stevenage,Female,1,Acute/PICU,2024-07-18,20:32:12
Cygnet Hospital Stevenage,Female,1,Acute/PICU,2024-07-18,20:32:12
Cygnet Hospital Colchester,Male,1,Acute/PICU,2024-07-18,20:32:12
Cygnet Hospital Hexham,Female,0,Acute/PICU,2024-07-18,20:32:12
Cygnet Hospital Sherwood,Male,1,Acute/PICU,2024-07-18,20:32:12
Cygnet Hospital Derby,Male,4,Rehab,2024-07-19,20:32:12
Cygnet Hospital Kewstoke,Male,3,Rehab,2024-07-19,20:32:12
Cygnet Hospital Kewstoke,Male,3,Acute/PICU,2024-07-19,20:32:12
Cygnet Delfryn House,Male,3,Rehab,2024-07-19,20:32:12
Cygnet Hospital Colchester,Male,4,Rehab,2024-07-19,20:32:12
Cygnet Fountains,Male,2,Rehab,2024-07-19,20:32:12
Cygnet Oaks,Male,3,Rehab,2024-07-19,20:32:12
Gledholt Mews and Coach House,Male,2,Rehab,2024-07-19,20:32:12
Cygnet Hospital Maidstone,Male,2,Rehab,2024-07-19,20:32:12
1 Vincent Court,Male,1,Rehab,2024-07-19,20:32:12
Cygnet St Teilo House,Female,1,Rehab,2024-07-19,20:32:12
12 Woodcross Street,Male,1,Rehab,2024-07-19,20:32:12
Cygnet Lodge Woking,Male,1,Rehab,2024-07-19,20:32:12
Cygnet Hospital Beckton,Female,4,Acute/PICU,2024-07-19,20:32:12
Cygnet Maple House,Female,4,PDU,2024-07-19,20:32:12
Cygnet Hospital Maidstone,Female,2,PDU,2024-07-19,20:32:12
Gledholt Mews and Coach House,Male,1,PDU,2024-07-19,20:32:12
Cygnet Hospital Bury,Male,0,PDU,2024-07-19,20:32:12
Cygnet Hospital Bury,Male,2,PDU,2024-07-19,20:32:12
Cygnet Acer Clinic,Female,1,PDU,2024-07-19,20:32:12
Cygnet Hospital Beckton,Female,4,Acute/PICU,2024-07-19,20:32:12
Cygnet Hospital Stevenage,Male,3,Acute/PICU,2024-07-19,20:32:12
Cygnet Hospital Stevenage,Male,3,Acute/PICU,2024-07-19,20:32:12
Cygnet Hospital Sherwood,Male,4,Acute/PICU,2024-07-19,20:32:12
Cygnet Appletree,Female,2,Acute/PICU,2024-07-19,20:32:12
Cygnet Hospital Kewstoke,Female,4,Rehab,2024-07-19,20:32:12
Cygnet Hospital Kewstoke,Female,4,Acute/PICU,2024-07-19,20:32:12
Cygnet Hospital Beckton,Female,1,PDU,2024-07-19,20:32:12
Cygnet Hospital Beckton,Female,1,Acute/PICU,2024-07-19,20:32:12
Cygnet Hospital Hexham,Female,3,Acute/PICU,2024-07-19,20:32:12
Cygnet Appletree,Female,2,Acute/PICU,2024-07-19,20:32:12
Cygnet Hospital Taunton,Male,2,Acute/PICU,2024-07-19,20:32:12
Cygnet Hospital Taunton,Female,1,Acute/PICU,2024-07-19,20:32:12
Cygnet Hospital Stevenage,Male,2,Acute/PICU,2024-07-19,20:32:12
Cygnet Hospital Kewstoke,Male,1,Rehab,2024-07-19,20:32:12
Cygnet Hospital Kewstoke,Male,1,Acute/PICU,2024-07-19,20:32:12
Cygnet Hospital Woking,Female,2,Acute/PICU,2024-07-19,20:32:12
Cygnet Hospital Stevenage,Female,0,Acute/PICU,2024-07-19,20:32:12
Cygnet Hospital Stevenage,Female,0,Acute/PICU,2024-07-19,20:32:12
Cygnet Hospital Colchester,Male,1,Acute/PICU,2024-07-19,20:32:12
Cygnet Hospital Hexham,Female,0,Acute/PICU,2024-07-19,20:32:12
Cygnet Hospital Sherwood,Male,0,Acute/PICU,2024-07-19,20:32:12
Cygnet Storthfield House,Male,4,Rehab,2024-07-20,18:01:53
Cygnet Hospital Derby,Male,4,Rehab,2024-07-20,18:01:53
Cygnet Hospital Kewstoke,Male,4,Rehab,2024-07-20,18:01:53
Cygnet St Augustine’s,Male,4,Rehab,2024-07-20,18:01:53
Cygnet Delfryn House,Male,4,Rehab,2024-07-20,18:01:53
Cygnet Lodge Kenton,Female,3,Rehab,2024-07-20,18:01:53
Cygnet Hospital Colchester,Male,3,Rehab,2024-07-20,18:01:53
Cygnet Fountains,Male,3,Rehab,2024-07-20,18:01:53
Cygnet Aspen House,Female,3,Rehab,2024-07-20,18:01:53
Cygnet Oaks,Male,2,Rehab,2024-07-20,18:01:53
Ty Alarch,Female,2,Rehab,2024-07-20,18:01:53
Gledholt Mews and Coach House,Male,2,Rehab,2024-07-20,18:01:53
Cygnet Hospital Maidstone,Male,2,Rehab,2024-07-20,18:01:53
1 Vincent Court,Male,2,Rehab,2024-07-20,18:01:53
15 The Sycamores,Male,2,Rehab,2024-07-20,18:01:53
Cygnet St Teilo House,Female,2,Rehab,2024-07-20,18:01:53
Cygnet Delfryn Lodge,Female,2,Rehab,2024-07-20,18:01:53
12 Woodcross Street,Male,1,Rehab,2024-07-20,18:01:53
20A and 20B Turls Hill Road,Male,1,Rehab,2024-07-20,18:01:53
Cygnet Lodge Woking,Male,1,Rehab,2024-07-20,18:01:53
Cygnet Hospital Beckton,Female,4,PDU,2024-07-20,18:01:53
Cygnet Maple House,Female,4,PDU,2024-07-20,18:01:53
Cygnet Hospital Maidstone,Female,2,PDU,2024-07-20,18:01:53
Gledholt Mews and Coach House,Male,2,PDU,2024-07-20,18:01:53
Cygnet Hospital Bury,Male,1,PDU,2024-07-20,18:01:53
Cygnet Hospital Clifton,Male,1,PDU,2024-07-20,18:01:53
Cygnet Hospital Bury,Male,1,PDU,2024-07-20,18:01:53
Cygnet Acer Clinic,Female,1,PDU,2024-07-20,18:01:53
Cygnet Hospital Blackheath,Male,4,Acute/PICU,2024-07-20,18:01:53
Cygnet Hospital Woking,Female,3,Acute/PICU,2024-07-20,18:01:53
Cygnet Hospital Beckton,Female,3,Acute/PICU,2024-07-20,18:01:53
Cygnet Hospital Sherwood,Male,3,Acute/PICU,2024-07-20,18:01:53
Cygnet Appletree,Female,3,Acute/PICU,2024-07-20,18:01:53
Cygnet Hospital Godden Green,Female,3,Acute/PICU,2024-07-20,18:01:53
Cygnet Hospital Kewstoke,Female,3,Acute/PICU,2024-07-20,18:01:53
Cygnet Hospital Stevenage,Male,3,Acute/PICU,2024-07-20,18:01:53
Cygnet Hospital Beckton,Female,2,Acute/PICU,2024-07-20,18:01:53
Cygnet Hospital Taunton,Male,2,Acute/PICU,2024-07-20,18:01:53
Cygnet Hospital Wyke,Male,2,Acute/PICU,2024-07-20,18:01:53
Cygnet Hospital Taunton,Female,2,Acute/PICU,2024-07-20,18:01:53
Cygnet Hospital Stevenage,Female,2,Acute/PICU,2024-07-20,18:01:53
Cygnet Hospital Stevenage,Male,2,Acute/PICU,2024-07-20,18:01:53
Cygnet Hospital Kewstoke,Male,2,Acute/PICU,2024-07-20,18:01:53
Cygnet Hospital Hexham,Female,1,Acute/PICU,2024-07-20,18:01:53
Cygnet Hospital Bury,Male,1,Acute/PICU,2024-07-20,18:01:53
Cygnet Storthfield House,Male,4,Rehab,2024-07-21,10:15:15
Cygnet Hospital Derby,Male,4,Rehab,2024-07-21,10:15:15
Cygnet Hospital Kewstoke,Male,4,Rehab,2024-07-21,10:15:15
Cygnet St Augustine’s,Male,4,Rehab,2024-07-21,10:15:15
Cygnet Delfryn House,Male,4,Rehab,2024-07-21,10:15:15
Cygnet Lodge Kenton,Female,3,Rehab,2024-07-21,10:15:15
Cygnet Hospital Colchester,Male,3,Rehab,2024-07-21,10:15:15
Cygnet Fountains,Male,3,Rehab,2024-07-21,10:15:15
Cygnet Aspen House,Female,3,Rehab,2024-07-21,10:15:15
Cygnet Oaks,Male,2,Rehab,2024-07-21,10:15:15
Ty Alarch,Female,2,Rehab,2024-07-21,10:15:15
Gledholt Mews and Coach House,Male,2,Rehab,2024-07-21,10:15:15
Cygnet Hospital Maidstone,Male,2,Rehab,2024-07-21,10:15:15
1 Vincent Court,Male,2,Rehab,2024-07-21,10:15:15
15 The Sycamores,Male,2,Rehab,2024-07-21,10:15:15
Cygnet St Teilo House,Female,2,Rehab,2024-07-21,10:15:15
Cygnet Delfryn Lodge,Female,2,Rehab,2024-07-21,10:15:15
12 Woodcross Street,Male,1,Rehab,2024-07-21,10:15:15
20A and 20B Turls Hill Road,Male,1,Rehab,2024-07-21,10:15:15
Cygnet Lodge Woking,Male,1,Rehab,2024-07-21,10:15:15
Cygnet Hospital Beckton,Female,4,PDU,2024-07-21,10:15:15
Cygnet Maple House,Female,4,PDU,2024-07-21,10:15:15
Cygnet Hospital Maidstone,Female,2,PDU,2024-07-21,10:15:15
Gledholt Mews and Coach House,Male,2,PDU,2024-07-21,10:15:15
Cygnet Hospital Bury,Male,1,PDU,2024-07-21,10:15:15
Cygnet Hospital Clifton,Male,1,PDU,2024-07-21,10:15:15
Cygnet Hospital Bury,Male,1,PDU,2024-07-21,10:15:15
Cygnet Acer Clinic,Female,1,PDU,2024-07-21,10:15:15
Cygnet Hospital Blackheath,Male,4,Acute/PICU,2024-07-21,10:15:15
